Posto;Id. Vaga;Qtd. Vagas Disponíveis;Qtd. Encaminhamentos Disponíveis;Ocupação;Nome Fantasia do Empregador;UF Local de Trabalho;Município Local de Trabalho;Bairro Local de Trabalho;Forma de Contratação;Salário;Frequência de Pagamento;Incentivos;Horário de Trabalho;Horário não Convencional?;Escolaridade;Tempo de Experiência;Aceita Deficientes;Tipo de Deficiência;Sexo;Idade (Inicial);Idade (Final);
Sine Petrolina/Pe                                                                                                                                     ;6924489                                                                                                                                               ;15                  ;39                  ;Trabalhador da Pecuaria (Bovinos Corte)                                                                                                               ;AGROBRAS AGRICOLA TROPICAL DO BRASIL S/A                                                                                                              ;Pernambuco                                                                                                                                            ;PE-Petrolina                                                                                                                                          ;VILA MOCO                                                                                                                                             ;Permanente                                                                                                                                            ;1.354,00            ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Incompleto                                                                                                                                ;0                   ;Exclusivamente deficiente                                                                                                                             ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Salgueiro/Pe                                                                                                                                     ;7059926                                                                                                                                               ;4                   ;10                  ;Motorista de Furgao Ou Veiculo Similar                                                                                                                ;JD LOg TRANSPORTADORA                                                                                                                                 ;Pernambuco                                                                                                                                            ;PE-Salgueiro                                                                                                                                          ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6                   ;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;7062683                                                                                                                                               ;1                   ;5                   ;Serralheiro                                                                                                                                           ;BAHIA FERRAGENS                                                                                                                                       ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;BELA VISTA                                                                                                                                            ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6                   ;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;7062803                                                                                                                                               ;1                   ;2                   ;Trabalhador da Manutencao de Edificacoes                                                                                                              ;ALVO CORTES                                                                                                                                           ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;MALHADA DO MEIO                                                                                                                                       ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Incompleto                                                                                                                                ;6                   ;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;7062723                                                                                                                                               ;1                   ;3                   ;Trabalhador da Manutencao de Edificacoes                                                                                                              ;BAHIA FERRAGENS                                                                                                                                       ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;BELA VISTA                                                                                                                                            ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6                   ;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;7052126                                                                                                                                               ;1                   ;1                   ;Vendedor de Comercio Varejista                                                                                                                        ;QUERO MAIS PAES ARTESANAIS                                                                                                                            ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;MALAQUIAS CARDOSO                                                                                                                                     ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6                   ;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Salgueiro/Pe                                                                                                                                     ;7058133                                                                                                                                               ;6                   ;30                  ;Ajudante de Motorista                                                                                                                                 ;JODIBE SERTAO                                                                                                                                         ;Pernambuco                                                                                                                                            ;PE-Salgueiro                                                                                                                                          ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6                   ;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Belo Jardim/Pe                                                                                                                                   ;7074073                                                                                                                                               ;1                   ;5                   ;Supervisor de Manutencao Eletromecanica                                                                                                               ;SOSERVI MATRIZ                                                                                                                                        ;Pernambuco                                                                                                                                            ;PE-Belo Jardim                                                                                                                                        ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;Cesta Básica                                                                                                                                          ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Superior Incompleto                                                                                                                                   ;6                   ;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Salgueiro/Pe                                                                                                                                     ;7060195                                                                                                                                               ;1                   ;5                   ;Auxiliar de Logistica                                                                                                                                 ;JD LOg TRANSPORTADORA                                                                                                                                 ;Pernambuco                                                                                                                                            ;PE-Salgueiro                                                                                                                                          ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6                   ;Exclusivamente deficiente                                                                                                                             ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Garanhuns/Pe                                                                                                                                     ;7061012                                                                                                                                               ;1                   ;8                   ;Auxiliar de Logistica                                                                                                                                 ;LEAO E PONCIANO TRANSPORTES                                                                                                                           ;Pernambuco                                                                                                                                            ;PE-Garanhuns                                                                                                                                          ;HELIOPOLIS                                                                                                                                            ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;Outros                                                                                                                                                ;Manhã/Tarde/Noite                                                                                                                                     ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;3                   ;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;7040497                                                                                                                                               ;1                   ;3                   ;Enfestador de Roupas                                                                                                                                  ;ALVO CORTES                                                                                                                                           ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;MALAQUIAS CARDOSO                                                                                                                                     ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Incompleto                                                                                                                                ;6                   ;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;7040349                                                                                                                                               ;1                   ;2                   ;Auxiliar de Corte (Preparacao da Confeccao de                                                                                                         ;Pieta Confeccoes                                                                                                                                      ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;NOVA SANTA CRUZ                                                                                                                                       ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6                   ;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Petrolina/Pe                                                                                                                                     ;7037349                                                                                                                                               ;1                   ;1                   ;Vendedor de Comercio Varejista                                                                                                                        ;PNZSUN ENERGY                                                                                                                                         ;Pernambuco                                                                                                                                            ;PE-Petrolina                                                                                                                                          ;COHAB MASSANGANO                                                                                                                                      ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6                   ;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Bezerros/Pe                                                                                                                                      ;7029322                                                                                                                                               ;5                   ;20                  ;Eletricista de Instalacoes                                                                                                                            ;SETTA ENERGIA                                                                                                                                         ;Pernambuco                                                                                                                                            ;PE-Bezerros                                                                                                                                           ;CENTRO                                                                                                                                                ;Temporária                                                                                                                                            ;10,24               ;Hora                                                                                                                                                  ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6                   ;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine  Nazare da Mata/Pe                                                                                                                               ;7033043                                                                                                                                               ;3                   ;4                   ;Tratorista Agricola                                                                                                                                   ;USINA CENTRAL OLHO D AGUA                                                                                                                             ;Pernambuco                                                                                                                                            ;PE-Nazaré da Mata                                                                                                                                     ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Incompleto                                                                                                                               ;6                   ;Aceita deficiente                                                                                                                                     ;Auditiva                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Caruaru/Pe                                                                                                                                       ;7026411                                                                                                                                               ;1                   ;2                   ;Sushiman                                                                                                                                              ;RESTAURANTE LE JARDIM                                                                                                                                 ;Pernambuco                                                                                                                                            ;PE-Caruaru                                                                                                                                            ;UNIVERSITARIO                                                                                                                                         ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;Condução                                                                                                                                              ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6                   ;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine  Nazare da Mata/Pe                                                                                                                               ;7034874                                                                                                                                               ;2                   ;2                   ;Ajudante de Motorista                                                                                                                                 ;transmate                                                                                                                                             ;Pernambuco                                                                                                                                            ;PE-Nazaré da Mata                                                                                                                                     ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6                   ;Aceita deficiente                                                                                                                                     ;Auditiva                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;7040468                                                                                                                                               ;1                   ;1                   ;Cortador de Roupas                                                                                                                                    ;ALVO CORTES                                                                                                                                           ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;MALAQUIAS CARDOSO                                                                                                                                     ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Incompleto                                                                                                                                ;6                   ;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Belo Jardim/Pe                                                                                                                                   ;7074153                                                                                                                                               ;1                   ;2                   ;Mecanico de Manutencao de Veiculos Ferroviari                                                                                                         ;SOSERVI MATRIZ                                                                                                                                        ;Pernambuco                                                                                                                                            ;PE-Belo Jardim                                                                                                                                        ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;Cesta Básica                                                                                                                                          ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;0                   ;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0                   ;0                   
