Posto;Id. Vaga;Qtd. Vagas Disponíveis;Qtd. Encaminhamentos Disponíveis;Ocupação;Nome Fantasia do Empregador;UF Local de Trabalho;Município Local de Trabalho;Bairro Local de Trabalho;Forma de Contratação;Salário;Frequência de Pagamento;Incentivos;Horário de Trabalho;Horário não Convencional?;Escolaridade;Tempo de Experiência;Aceita Deficientes;Tipo de Deficiência;Sexo;Idade (Inicial);Idade (Final)
Sine Recife/Pe                                                                                                                                        ;7014347;1;2;Churrasqueiro                                                                                                                                         ;CALDINHO DO NENEM                                                                                                                                     ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;BOA VISTA                                                                                                                                             ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;"Condução, Outros                                                                                                                                      ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Salgueiro/Pe                                                                                                                                     ;7008727;1;5;Tecnico Florestal                                                                                                                                     ;ANX ADMINISTRACAO E SERVICOS                                                                                                                          ;Pernambuco                                                                                                                                            ;PE-Salgueiro                                                                                                                                          ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Superior Completo                                                                                                                                     ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Paulista/Pe                                                                                                                                      ;7010224;3;13;Trabalhador de Preparacao de Pescados (Limpez                                                                                                         ;ROMAGUERA PESCADOS E FRUTOS DO MAR                                                                                                                    ;Pernambuco                                                                                                                                            ;PE-Paulista                                                                                                                                           ;JANGA                                                                                                                                                 ;Permanente                                                                                                                                            ;"1.779,00";Mês                                                                                                                                                   ;"Condução, Ticket Alimentação                                                                                                                          ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Camaragibe/Pe                                                                                                                                    ;7014997;1;5;Padeiro                                                                                                                                               ;                                                                                                                                                      ;Pernambuco                                                                                                                                            ;PE-Chá de Alegria                                                                                                                                     ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;7014123;3;7;Vendedor de Comercio Varejista                                                                                                                        ;MATEUS ASSISTENCIA TECNICA                                                                                                                            ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;0;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Caruaru/Pe                                                                                                                                       ;7014136;1;4;Cozinheiro Geral                                                                                                                                      ;ASSAI CARUARU                                                                                                                                         ;Pernambuco                                                                                                                                            ;PE-Caruaru                                                                                                                                            ;NOSSA SENHORA DAS DORES                                                                                                                               ;Temporária                                                                                                                                            ;"1.434,60";Mês                                                                                                                                                   ;"Condução, Outros                                                                                                                                      ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;7019892;1;3;Costureiro A  Maquina  Na Confeccao Em Serie                                                                                                          ;                                                                                                                                                      ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;MALAQUIAS CARDOSO                                                                                                                                     ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Incompleto                                                                                                                                ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;7014138;1;2;Tecnico de Telecomunicacoes (Telefonia)                                                                                                               ;MATEUS ASSISTENCIA TECNICA                                                                                                                            ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;0;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;7014171;6;12;Cumim                                                                                                                                                 ;CALDINHO DO NENEM                                                                                                                                     ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;BOA VISTA                                                                                                                                             ;Permanente                                                                                                                                            ;"1.385,00";Mês                                                                                                                                                   ;"Condução, Outros                                                                                                                                      ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Bezerros/Pe                                                                                                                                      ;7007438;7;39;Atendente de Lojas e Mercados                                                                                                                         ;NOVO ATACAREJO                                                                                                                                        ;Pernambuco                                                                                                                                            ;PE-Bezerros                                                                                                                                           ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Exclusivamente deficiente                                                                                                                             ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Garanhuns/Pe                                                                                                                                     ;7012690;1;4;Cozinheiro Geral                                                                                                                                      ;                                                                                                                                                      ;Pernambuco                                                                                                                                            ;PE-Garanhuns                                                                                                                                          ;SANTO ANTONIO                                                                                                                                         ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;7014144;1;3;Tecnico Em Atendimento e Vendas                                                                                                                       ;MATEUS ASSISTENCIA TECNICA                                                                                                                            ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;0;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Caruaru/Pe                                                                                                                                       ;7014189;1;4;Eletricista de Instalacoes                                                                                                                            ;CONEXAO ENERGIA                                                                                                                                       ;Pernambuco                                                                                                                                            ;PE-Caruaru                                                                                                                                            ;NOSSA SENHORA DAS DORES                                                                                                                               ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;Outros                                                                                                                                                ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Goiana/Pe                                                                                                                                        ;7010493;2;6;Serralheiro                                                                                                                                           ;MANSERV FACILITIES                                                                                                                                    ;Pernambuco                                                                                                                                            ;PE-Goiana                                                                                                                                             ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;"2.054,00";Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Camaragibe/Pe                                                                                                                                    ;7008450;1;3;Operador de Escavadeira                                                                                                                               ;camara ambiental                                                                                                                                      ;Pernambuco                                                                                                                                            ;PE-Camaragibe                                                                                                                                         ;TABATINGA                                                                                                                                             ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Não Exigida                                                                                                                                           ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Salgueiro/Pe                                                                                                                                     ;7008346;2;6;Biologo                                                                                                                                               ;ANX ADMINISTRACAO E SERVICOS                                                                                                                          ;Pernambuco                                                                                                                                            ;PE-Salgueiro                                                                                                                                          ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Superior Completo                                                                                                                                     ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Garanhuns/Pe                                                                                                                                     ;7012708;1;2;Garcom                                                                                                                                                ;                                                                                                                                                      ;Pernambuco                                                                                                                                            ;PE-Garanhuns                                                                                                                                          ;SANTO ANTONIO                                                                                                                                         ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;7016149;2;3;Lavador de Veiculos                                                                                                                                   ;JETWASH LAVAGEM INTELIGENTE                                                                                                                           ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;TORRE                                                                                                                                                 ;Permanente                                                                                                                                            ;"1.320,00";Mês                                                                                                                                                   ;"Condução, Outros                                                                                                                                      ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Arcoverde/Pe                                                                                                                                     ;7015040;1;12;Vendedor Pracista                                                                                                                                     ;JODIBE DISTRIBUIDORA                                                                                                                                  ;Pernambuco                                                                                                                                            ;PE-Serra Talhada                                                                                                                                      ;BOM JESUS                                                                                                                                             ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;7014240;2;6;Barman                                                                                                                                                ;CALDINHO DO NENEM                                                                                                                                     ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;BOA VISTA                                                                                                                                             ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;"Condução, Outros                                                                                                                                      ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
